,id,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,TD/G
551,HomeTr00,Travis Homer,22,RB,9,0,10.0,9,90.0%,90,10.0,1,50,9.0,1.0,10.0,0.0,0.1
552,HomeTr00,Travis Homer,23,RB,14,0,20.0,16,80.0%,161,10.1,0,31,8.1,1.1,11.5,0.0,0.0
553,HoopAu00,Austin Hooper,22,TE,14,3,27.0,19,70.4%,271,14.3,3,44,10.0,1.4,19.4,0.0,0.2
554,HoopAu00,Austin Hooper,23,TE,16,8,65.0,49,75.4%,526,10.7,3,88,8.1,3.1,32.9,0.0,0.2
555,HoopAu00,Austin Hooper*,24,TE,16,7,88.0,71,80.7%,660,9.3,4,36,7.5,4.4,41.3,0.0,0.2
556,HoopAu00,Austin Hooper*,25,TE,13,10,97.0,75,77.3%,787,10.5,6,35,8.1,5.8,60.5,0.0,0.5
557,HoopAu00,Austin Hooper,26,TE,13,13,70.0,46,65.7%,435,9.5,4,36,6.2,3.5,33.5,0.0,0.3
558,HoopAu00,Austin Hooper,27,TE,16,16,61.0,38,62.3%,345,9.1,3,34,5.7,2.4,21.6,0.0,0.2
559,HopkBr01,Brycen Hopkins,24,TE,5,0,1.0,1,100.0%,9,9.0,0,9,9.0,0.2,1.8,0.0,0.0
560,HopkDe00,DeAndre Hopkins,21,WR,16,16,91.0,52,57.1%,802,15.4,2,66,8.8,3.3,50.1,1.0,0.1
561,HopkDe00,DeAndre Hopkins,22,WR,16,16,127.0,76,59.8%,1210,15.9,6,76,9.5,4.8,75.6,2.0,0.4
562,HopkDe00,DeAndre Hopkins*,23,WR,16,16,192.0,111,57.8%,1521,13.7,11,61,7.9,6.9,95.1,1.0,0.7
563,HopkDe00,DeAndre Hopkins,24,WR,16,16,151.0,78,51.7%,954,12.2,4,51,6.3,4.9,59.6,0.0,0.2
564,HopkDe00,DeAndre Hopkins*+,25,WR,15,15,174.0,96,55.2%,1378,14.4,13,72,7.9,6.4,91.9,1.0,0.9
565,HopkDe00,DeAndre Hopkins*+,26,WR,16,16,163.0,115,70.6%,1572,13.7,11,49,9.6,7.2,98.3,2.0,0.7
566,HopkDe00,DeAndre Hopkins*+,27,WR,15,15,150.0,104,69.3%,1165,11.2,7,43,7.8,6.9,77.7,0.0,0.5
567,HopkDe00,DeAndre Hopkins*,28,WR,16,16,160.0,115,71.9%,1407,12.2,6,60,8.8,7.2,87.9,3.0,0.4
568,HopkDe00,DeAndre Hopkins,29,WR,10,10,64.0,42,65.6%,572,13.6,8,55,8.9,4.2,57.2,0.0,0.8
569,HorsJe00,Jesper Horsted,22,WR,6,1,10.0,8,80.0%,87,10.9,1,20,8.7,1.3,14.5,1.0,0.2
570,HorsJe00,Jesper Horsted,24,WR,7,0,3.0,2,66.7%,21,10.5,2,19,7.0,0.3,3.0,0.0,0.3
571,HowaO.00,O.J. Howard,23,TE,14,14,39.0,26,66.7%,432,16.6,6,58,11.1,1.9,30.9,3.0,0.4
572,HowaO.00,O.J. Howard,24,TE,10,8,48.0,34,70.8%,565,16.6,5,75,11.8,3.4,56.5,0.0,0.5
573,HowaO.00,O.J. Howard,25,TE,14,14,53.0,34,64.2%,459,13.5,1,33,8.7,2.4,32.8,1.0,0.1
574,HowaO.00,O.J. Howard,26,TE,4,1,19.0,11,57.9%,146,13.3,2,33,7.7,2.8,36.5,0.0,0.5
575,HowaO.00,O.J. Howard,27,TE,17,9,21.0,14,66.7%,135,9.6,1,21,6.4,0.8,7.9,0.0,0.1
576,HubbCh01,Chuba Hubbard,22,RB,17,10,37.0,25,67.6%,174,7.0,1,33,4.7,1.5,10.2,1.0,0.1
577,HudsTa00,Tanner Hudson,25,TE,9,1,5.0,2,40.0%,26,13.0,0,14,5.2,0.2,2.9,0.0,0.0
578,HudsTa00,Tanner Hudson,26,TE,11,0,7.0,3,42.9%,41,13.7,0,20,5.9,0.3,3.7,0.0,0.0
579,HumpLi01,Lil'Jordan Humphrey,21,WR,5,1,1.0,0,0.0%,0,0,0,0,0.0,0.0,0.0,,0.0
580,HumpLi01,Lil'Jordan Humphrey,22,WR,3,1,5.0,3,60.0%,46,15.3,1,17,9.2,1.0,15.3,0.0,0.3
581,HumpLi01,Lil'Jordan Humphrey,23,WR,10,4,18.0,13,72.2%,249,19.2,2,56,13.8,1.3,24.9,0.0,0.2
582,HuntKa00,Kareem Hunt*,22,RB,16,16,63.0,53,84.1%,455,8.6,3,78,7.2,3.3,28.4,1.0,0.2
583,HuntKa00,Kareem Hunt,23,RB,11,11,35.0,26,74.3%,378,14.5,7,67,10.8,2.4,34.4,0.0,0.6
584,HuntKa00,Kareem Hunt,24,RB,8,3,44.0,37,84.1%,285,7.7,1,29,6.5,4.6,35.6,1.0,0.1
585,HuntKa00,Kareem Hunt,25,RB,16,5,51.0,38,74.5%,304,8.0,5,26,6.0,2.4,19.0,2.0,0.3
586,HuntKa00,Kareem Hunt,26,RB,8,1,27.0,22,81.5%,174,7.9,0,23,6.4,2.8,21.8,0.0,0.0
587,HursHa00,Hayden Hurst,25,TE,12,0,23.0,13,56.5%,163,12.5,1,32,7.1,1.1,13.6,0.0,0.1
588,HursHa00,Hayden Hurst,26,TE,16,4,39.0,30,76.9%,349,11.6,2,61,8.9,1.9,21.8,0.0,0.1
589,HursHa00,Hayden Hurst,27,TE,16,9,88.0,56,63.6%,571,10.2,6,42,6.5,3.5,35.7,0.0,0.4
590,HursHa00,Hayden Hurst,28,TE,13,5,31.0,26,83.9%,221,8.5,3,33,7.1,2.0,17.0,3.0,0.2
591,IngrMa01,Mark Ingram,23,RB,16,5,10.0,6,60.0%,29,4.8,0,16,2.9,0.4,1.8,0.0,0.0
592,IngrMa01,Mark Ingram,24,RB,11,3,11.0,7,63.6%,68,9.7,0,23,6.2,0.6,6.2,0.0,0.0
593,IngrMa01,Mark Ingram*,25,RB,13,9,36.0,29,80.6%,145,5.0,0,14,4.0,2.2,11.2,3.0,0.0
