Rk,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,id
127,Jamaal Charles*,26,RB,16,15,49,35,71.4%,236,6.7,1,22,4.8,2.2,14.8,5,CharJa00
128,DeMarco Murray,24,RB,10,10,42,35,83.3%,251,7.2,0,22,6.0,3.5,25.1,3,MurrDe00
129,James Casey,28,FB,16,9,45,34,75.6%,330,9.7,3,30,7.3,2.1,20.6,0,CaseJa00
130,Fred Jackson,31,RB,10,8,42,34,81.0%,217,6.4,1,34,5.2,3.4,21.7,5,JackFr02
131,Mikel Leshoure,22,RB,14,14,49,34,69.4%,214,6.3,0,15,4.4,2.4,15.3,3,LeshMi00
132,Tony Moeaki,25,TE,15,14,56,33,58.9%,453,13.7,1,38,8.1,2.2,30.2,0,MoeaTo00
133,Titus Young,23,WR,10,8,56,33,58.9%,383,11.6,4,46,6.8,3.3,38.3,0,YounTi00
134,Kevin Ogletree,25,WR,15,1,55,32,58.2%,436,13.6,4,65,7.9,2.1,29.1,0,OgleKe00
135,T.J. Graham,23,TE,15,11,58,31,53.4%,322,10.4,1,51,5.6,2.1,21.5,0,GrahT.00
136,Jason Snelling,29,RB,16,2,35,31,88.6%,203,6.5,1,16,5.8,1.9,12.7,1,SnelJa00
137,Jacoby Jones*+,28,WR,16,3,55,30,54.5%,406,13.5,1,47,7.4,1.9,25.4,2,JoneJa03
138,Austin Pettis,24,WR,14,2,48,30,62.5%,261,8.7,4,36,5.4,2.1,18.6,0,PettAu00
139,Damian Williams,24,WR,13,2,45,30,66.7%,324,10.8,0,27,7.2,2.3,24.9,0,WillDa04
140,Doug Baldwin,24,WR,14,4,50,29,58.0%,366,12.6,3,50,7.3,2.1,26.1,0,BaldDo00
141,Earl Bennett,25,WR,12,4,49,29,59.2%,375,12.9,2,60,7.7,2.4,31.3,0,BennEa00
142,Jeff Cumberland,25,TE,15,12,53,29,54.7%,359,12.4,3,39,6.8,1.9,23.9,0,CumbJe00
143,Early Doucet,27,WR,12,3,53,28,52.8%,207,7.4,0,18,3.9,2.3,17.3,0,DoucEa00
144,Frank Gore*,29,RB,16,16,36,28,77.8%,234,8.4,1,26,6.5,1.8,14.6,2,GoreFr00
145,Garrett Graham,26,FB,15,9,39,28,71.8%,263,9.4,3,30,6.7,1.9,17.5,0,GrahGa00
146,Dustin Keller,28,TE,8,5,36,28,77.8%,317,11.3,2,32,8.8,3.5,39.6,0,KellDu00
147,Randy Moss,35,WR,16,2,50,28,56.0%,434,15.5,3,55,8.7,1.8,27.1,1,MossRa00
148,Chaz Schilens,27,WR,15,6,41,28,68.3%,289,10.3,2,25,7.0,1.9,19.3,1,SchiCh00
149,Tiquan Underwood,25,WR,14,3,55,28,50.9%,425,15.2,2,62,7.7,2.0,30.4,0,UndeTi00
150,Nate Burleson,31,WR,6,5,43,27,62.8%,240,8.9,2,26,5.6,4.5,40.0,0,BurlNa00
151,Mike Tolbert,27,RB,16,5,39,27,69.2%,268,9.9,0,26,6.9,1.7,16.8,0,TolbMi00
152,Coby Fleener,24,TE,12,10,48,26,54.2%,281,10.8,2,26,5.9,2.2,23.4,0,FleeCo00
153,Willis McGahee,31,RB,10,9,33,26,78.8%,221,8.5,0,31,6.7,2.6,22.1,5,McGaWi00
154,Jerome Simpson,26,WR,12,10,52,26,50.0%,274,10.5,0,33,5.3,2.2,22.8,2,SimpJe00
155,Clay Harbor,25,TE,14,9,39,25,64.1%,186,7.4,2,19,4.8,1.8,13.3,1,HarbCl00
156,Felix Jones,25,RB,16,7,36,25,69.4%,262,10.5,2,39,7.3,1.6,16.4,2,JoneFe00
157,Louis Murphy,25,WR,16,5,61,25,41.0%,336,13.4,1,55,5.5,1.6,21.0,1,MurpLo00
158,Logan Paulsen,25,TE,16,10,38,25,65.8%,308,12.3,1,31,8.1,1.6,19.3,0,PaulLo00
159,Armon Binns,23,WR,11,5,40,24,60.0%,277,11.5,1,48,6.9,2.2,25.2,1,BinnAr00
160,Fred Davis,26,TE,7,7,31,24,77.4%,325,13.5,0,29,10.5,3.4,46.4,0,DaviFr01
161,Shaun Draughn,25,RB,16,0,30,24,80.0%,158,6.6,0,23,5.3,1.5,9.9,2,DrauSh00
162,Alshon Jeffery,22,WR,10,6,48,24,50.0%,367,15.3,3,55,7.6,2.4,36.7,0,JeffAl00
163,Chris Ogbonnaya,26,RB,15,1,32,24,75.0%,187,7.8,0,38,5.8,1.6,12.5,1,OgboCh00
164,Daryl Richardson,22,RB,16,0,36,24,66.7%,163,6.8,0,26,4.5,1.5,10.2,3,RichDa00
165,Laurent Robinson,27,WR,7,4,43,24,55.8%,252,10.5,0,32,5.9,3.4,36.0,1,RobiLa01
166,Ahmad Bradshaw,26,RB,14,12,31,23,74.2%,245,10.7,0,59,7.9,1.6,17.5,3,BradAh00
167,Riley Cooper,25,WR,11,5,47,23,48.9%,248,10.8,3,23,5.3,2.1,22.5,0,CoopRi00
168,Devin Hester,30,WR,15,5,40,23,57.5%,242,10.5,1,39,6.1,1.5,16.1,1,HestDe99
169,Marshawn Lynch*+,26,RB,16,15,30,23,76.7%,196,8.5,1,27,6.5,1.4,12.3,5,LyncMa00
170,Eddie Royal,26,WR,10,2,44,23,52.3%,234,10.2,1,31,5.3,2.3,23.4,1,RoyaEd00
171,Jordan Shipley,27,WR,7,2,39,23,59.0%,244,10.6,1,36,6.3,3.3,34.9,1,ShipJo00
172,Micheal Spurlock,29,WR,14,1,29,23,79.3%,200,8.7,1,22,6.9,1.6,14.3,1,SpurMi00
173,Craig Stevens,28,TE,15,15,33,23,69.7%,275,12.0,1,46,8.3,1.5,18.3,2,StevCr00
174,Ryan Broyles,24,WR,10,3,32,22,68.8%,310,14.1,2,40,9.7,2.2,31.0,0,BroyRy00
175,BenJarvus Green-Ellis,27,RB,15,15,30,22,73.3%,104,4.7,0,13,3.5,1.5,6.9,3,GreeBe00
176,Devery Henderson,30,WR,15,9,47,22,46.8%,316,14.4,1,41,6.7,1.5,21.1,1,HendDe00
177,Jarius Wright,23,WR,7,1,36,22,61.1%,310,14.1,2,65,8.6,3.1,44.3,0,WrigJa02
178,Ed Dickson,25,TE,13,11,33,21,63.6%,225,10.7,0,40,6.8,1.6,17.3,0,DickEd00
179,Julian Edelman,26,WR,9,3,32,21,65.6%,235,11.2,3,56,7.3,2.3,26.1,1,EdelJu00
180,Stephen Hill,21,WR,11,8,47,21,44.7%,252,12.0,3,33,5.4,1.9,22.9,0,HillSt00
181,Vonta Leach*+,31,FB,16,13,24,21,87.5%,143,6.8,0,18,6.0,1.3,8.9,0,LeacVo00
182,Knowshon Moreno,25,RB,8,6,26,21,80.8%,167,8.0,0,26,6.4,2.6,20.9,1,MoreKn00
183,Delanie Walker,28,WR,16,4,39,21,53.8%,344,16.4,3,45,8.8,1.3,21.5,1,WalkHu00
184,Jonathan Baldwin,23,WR,15,7,47,20,42.6%,325,16.3,1,57,6.9,1.3,21.7,0,BaldJo00
185,Jordan Cameron,24,TE,14,6,40,20,50.0%,226,11.3,1,28,5.7,1.4,16.1,0,CameJo00
186,Toby Gerhart,25,RB,16,0,27,20,74.1%,155,7.8,0,21,5.7,1.3,9.7,2,GerhTo00
187,Derek Hagan,28,WR,14,2,36,20,55.6%,259,13.0,0,38,7.2,1.4,18.5,0,HagaDe00
188,Santonio Holmes,28,WR,4,4,41,20,48.8%,272,13.6,1,38,6.6,5.0,68.0,1,HolmSa00
189,Kellen Davis,27,TE,16,15,44,19,43.2%,229,12.1,2,25,5.2,1.2,14.3,1,DaviKe01
190,Shonn Greene,27,RB,16,14,30,19,63.3%,151,7.9,0,30,5.0,1.2,9.4,4,GreeSh00
191,Rashad Jennings,27,RB,10,6,26,19,73.1%,130,6.8,0,26,5.0,1.9,13.0,3,JennRa00
192,Damaris Johnson,23,WR,14,1,31,19,61.3%,256,13.5,0,32,8.3,1.4,18.3,2,JohnDa04
193,William Powell,24,RB,13,1,25,19,76.0%,132,6.9,0,25,5.3,1.5,10.2,2,PoweWi00
194,Rueben Randle,21,WR,16,1,32,19,59.4%,298,15.7,3,56,9.3,1.2,18.6,1,RandRu00
195,Isaac Redman,28,RB,14,5,23,19,82.6%,244,12.8,0,55,10.6,1.4,17.4,3,RedmIs20
196,Robert Turbin,23,RB,16,0,23,19,82.6%,181,9.5,0,20,7.9,1.2,11.3,0,TurbRo00
197,Michael Turner,30,RB,16,16,30,19,63.3%,128,6.7,1,60,4.3,1.2,8.0,3,TurnMi00
198,Travis Benjamin,23,WR,14,3,37,18,48.6%,298,16.6,2,69,8.1,1.3,21.3,1,BenjTr00
199,Charles Clay,23,FB,14,9,33,18,54.5%,212,11.8,2,31,6.4,1.3,15.1,0,ClayCh00
200,Jonathan Dwyer,23,RB,13,6,25,18,72.0%,106,5.9,0,15,4.2,1.4,8.2,2,DwyeJo00
201,Braylon Edwards,29,WR,13,4,35,18,51.4%,199,11.1,1,19,5.7,1.4,15.3,0,EdwaBr00
202,Alex Green,24,RB,12,4,30,18,60.0%,125,6.9,0,19,4.2,1.5,10.4,1,GreeAl00
203,Marvin Jones,22,WR,11,5,32,18,56.3%,201,11.2,1,23,6.3,1.6,18.3,0,JoneMa02
204,Anthony McCoy,25,TE,16,5,28,18,64.3%,291,16.2,3,67,10.4,1.1,18.2,0,McCoAn00
205,Mike Thomas,25,WR,16,4,40,18,45.0%,108,6.0,1,12,2.7,1.1,6.8,1,ThomMi01
206,Vick Ballard,22,RB,16,12,27,17,63.0%,152,8.9,1,19,5.6,1.1,9.5,3,BallVi00
207,Jerricho Cotchery,30,WR,14,2,27,17,63.0%,205,12.1,0,24,7.6,1.2,14.6,0,CotcJe00
208,Dwayne Harris,25,WR,16,0,31,17,54.8%,222,13.1,1,36,7.2,1.1,13.9,1,HarrDw00
209,Will Heller,31,TE,16,5,23,17,73.9%,150,8.8,1,19,6.5,1.1,9.4,0,HellWi00
210,Jeff King,29,TE,16,12,29,17,58.6%,129,7.6,0,27,4.4,1.1,8.1,0,KingJe00
211,Mohamed Massaquoi,26,WR,9,5,33,17,51.5%,254,14.9,0,54,7.7,1.9,28.2,0,MassMo00
212,Bilal Powell,24,RB,14,2,36,17,47.2%,140,8.2,0,16,3.9,1.2,10.0,0,PoweBi00
